wkt_geom,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,OWNERSHIP,CONDITION,CONDITION_,CURRENT_ST,CURRENT__1,LAST_VERIF,PLANTED_DA,BOTANICAL_,SCIENTIFIC,HERITAGE,EXCEPTIONA,CODEREQ,GSI,GREEN_FACT,WIRES,CABLED,CLEARANCE_,SPACETYPE,SITETYPE,GROWSPACE,DIAM,CONDITION1,FUNDING_SO,WATER_THRO,WATER_TH_1,WATER_TH_2,OWNERDIAM,EXPDATE,COMMON_NAM,TREEHEIGHT,ASBUILTPLA,LANDSCAPEA,COMMENTS,PRIMARYDIS,SECONDARYD,OVERRIDEYN,OVERRIDECO,SHAPE_LNG,SHAPE_LAT,IRRIGATESY,ASSETGROUP,ASSETGRO_1,MODDATE,MODBY,TOTAL_RANK,TOTAL_COUN,GENUS
MultiPoint ((-122.37239999899998111 47.57936400000005506)),349960,36,287002,TRE-1033010,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3724,47.579364,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.36345760199998267 47.57133077300005652)),342906,36,22839,TRE-500951,TRE,,SDOT,,,INSVC,,,,MAPNOR,Acer platanoides,N,N,N,N,N,N,N,N,GRASS,,20,9,4,SDOT,0,0,0,SDOT1,,Norway Maple,0,,1,,DISTRICT1,,N,,-122.3634576,47.57133077,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37089999899995973 47.57501000000007707)),349893,36,287002,TRE-1032943,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3709,47.57501,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.3709999999999809 47.57609400100005814)),349907,36,287002,TRE-1032957,TRE,3100 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,CHERRY,Prunus sp.,N,N,N,N,N,N,N,N,,STRP,20,6,5,SDOT,0,0,0,SDOT1,,Cherry/Plum/Laurel,0,,1,,DISTRICT1,,N,,-122.371,47.576094,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,2,25566,Prunus
MultiPoint ((-122.37120445199997221 47.57530874800005449)),259816,36,10821,TRE-92104,TRE,3217 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,2,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3712045,47.57530875,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37089999999994916 47.57476700000006531)),349890,36,287002,TRE-1032940,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3709,47.574767,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37311931599998616 47.58155113800006575)),241632,36,10819,TRE-73920,TRE,2429 S HARDY ST,PRIV,,,INSVC,,,10/6/92,LOCHON,Gleditsia triacanthos,N,N,N,N,N,Y,N,N,OTHER,,20,4,4,PVT,0,0,0,PRIV1,,Honey Locust,0,,1,"TrunkLean=0, Topped=0, BrnDefect=1, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3731193,47.58155114,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,21,1393,Gleditsia
MultiPoint ((-122.37139999999999418 47.57723700100007136)),349924,36,287002,TRE-1032974,TRE,3000 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,3,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3714,47.577237,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37098454599998831 47.57376246900003025)),259842,36,10821,TRE-92130,TRE,3301 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,STRP,4,3,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3709845,47.57376247,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.36198602299998583 47.57074618100006091)),342928,36,9658,TRE-500973,TRE,,SDOT,,,INSVC,,,,SEQOIA,Sequoiadendron giganteum,N,N,N,N,N,N,N,N,OTHER,,99,22,4,SDOT,0,0,0,SDOT2,,Giant Sequoia,0,,1,,DISTRICT1,,N,,-122.361986,47.57074618,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,64,75,Sequoiadendron
MultiPoint ((-122.37210147199994026 47.57782751400003463)),259749,36,10820,TRE-92037,TRE,2651 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,Y,GRASS,STRP,4,4,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3721015,47.57782751,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37186912199996414 47.57778130200006217)),259756,36,287002,TRE-92044,TRE,3000 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,Y,GRASS,MEDN,8,7,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3718691,47.5777813,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37236999999998943 47.57885000000004538)),349952,36,287002,TRE-1033002,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,6,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.37237,47.57885,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.36215690199998107 47.57045970800004397)),342915,36,9958,TRE-500960,TRE,,SDOT,,,INSVC,,,,SEQOIA,Sequoiadendron giganteum,N,N,N,N,N,N,N,N,OTHER,,99,25,4,SDOT,0,0,0,SDOT3,,Giant Sequoia,0,,1,,DISTRICT1,,N,,-122.3621569,47.57045971,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,64,75,Sequoiadendron
MultiPoint ((-122.37079999999997426 47.57439400100003013)),349884,36,287002,TRE-1032934,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3708,47.574394,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37111169199994265 47.57546081400005278)),259810,36,10821,TRE-92098,TRE,3200 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,4/1/00,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,Y,GRASS,MEDN,4,6,4,SDOT,0,2001,2002,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3711117,47.57546081,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.36212046599996484 47.57034365400005527)),342911,36,9958,TRE-500956,TRE,,SDOT,,,INSVC,,,,SEQOIA,Sequoiadendron giganteum,N,N,N,N,N,N,N,N,OTHER,,99,27,4,SDOT,0,0,0,SDOT3,,Giant Sequoia,0,,1,,DISTRICT1,,N,,-122.3621205,47.57034365,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,64,75,Sequoiadendron
MultiPoint ((-122.37241999999997688 47.5791000010000289)),349955,36,287002,TRE-1033005,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,5,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.37242,47.5791,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37249772399997028 47.58026530900002626)),259758,36,10820,TRE-92046,TRE,2625 HARBOR AVE S,SDOT,,,INSVC,,12/31/08,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,Y,N,N,GRASS,,1,2,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3724977,47.58026531,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37242861399994354 47.57998381400005883)),259759,36,287002,TRE-92047,TRE,2600 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,Y,GRASS,MEDN,8,7,4,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,"MultiTrunk= , TrunkLean=0, BrnDefect=N, TrnDefect=0, RootProb=0",DISTRICT1,,N,,-122.3724286,47.57998381,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
MultiPoint ((-122.37139999999999418 47.57696400000003223)),349920,36,287002,TRE-1032970,TRE,3000 HARBOR AVE S,SDOT,,,INSVC,,12/31/07,,MAPPSU,Acer truncatum x A platanoides,N,N,N,N,N,N,N,N,,STRP,5,4,5,SDOT,0,0,0,SDOT1,,Pacific Sunset Maple,0,,1,,DISTRICT1,,N,,-122.3714,47.576964,N,,,6/16/10,CB634 SEGMENT ENHANCEMENT,1,29524,Acer
